Linux 5.4.0-216-generic (dskbi001) 	09/11/2026 	_x86_64_	(96 CPU)

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz  aqu-sz  %util
nvme29n1      9725.20 182043.20     8.00   0.08    0.07    18.72   33.60  27072.80     0.00   0.00    0.32   805.74    0.00      0.00     0.00   0.00    0.00     0.00    0.00  92.24
nvme2n1       9887.60 170108.80     8.00   0.08    0.08    17.20   34.60  27996.00     0.00   0.00    0.33   809.13    0.00      0.00     0.00   0.00    0.00     0.00    0.00  92.32
nvme30n1      9687.60 174321.60     8.60   0.09    0.07    17.99   34.40  27724.00     0.00   0.00    0.30   805.93    0.00      0.00     0.00   0.00    0.00     0.00    0.00  92.48
nvme31n1      9767.80 177676.80     8.20   0.08    0.07    18.19   43.00  28052.00     0.60   1.38    0.25   652.37    0.00      0.00     0.00   0.00    0.00     0.00    0.00  92.48
nvme3n1       9873.80 180128.80    10.00   0.10    0.07    18.24   36.00  28641.60     0.00   0.00    0.33   795.60    0.00      0.00     0.00   0.00    0.00     0.00    0.00  92.24
nvme4n1       9931.80 180168.80     8.20   0.08    0.07    18.14   35.40  28820.00     0.00   0.00    0.33   814.12    0.00      0.00     0.00   0.00    0.00     0.00    0.00  92.24
nvme5n1       9886.40 180432.80    10.20   0.10    0.07    18.25   33.60  27839.20     0.00   0.00    0.33   828.55    0.00      0.00     0.00   0.00    0.00     0.00    0.00  92.24
nvme6n1       9799.40 172468.00     8.40   0.09    0.07    17.60   89.20  27931.20     0.40   0.45    0.13   313.13    0.00      0.00     0.00   0.00    0.00     0.00    0.00  92.48
nvme7n1       9788.60 179793.60     9.20   0.09    0.07    18.37   35.40  27805.60     0.00   0.00    0.34   785.47    0.00      0.00     0.00   0.00    0.00     0.00    0.00  92.24
nvme8n1       9716.20 175930.40    16.40   0.17    0.07    18.11   89.40  27177.60     0.00   0.00    0.12   304.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00  92.32
